customer_id,full_name,account_number,balance,created_at
1,Allen Freeman,SSGL41295607418878,471554.54,2026-09-10 08:21:16.724326
2,Sarah Galloway,LXRL64140537329945,92211.22,2026-09-10 08:21:16.724326
3,Cameron Jones,CDJD88359120630689,40079.95,2026-09-10 08:21:16.724326
4,Ashley Parker,XFLC68267086268645,382423.73,2026-09-10 08:21:16.724326
5,Thomas Anderson,WVBR05036456822446,379250.01,2026-09-10 08:21:16.724326
6,Hannah Love,AWKS14990750614941,16412.81,2026-09-10 08:21:16.724326
7,Shannon Barnes,SPAN46489440970601,168568.53,2026-09-10 08:21:16.724326
8,Jackie Williams,DDDA70209991033684,18616.84,2026-09-10 08:21:16.724326
9,Susan Lozano,UESG00000611230664,138583.02,2026-09-10 08:21:16.724326
10,Brian Taylor,FUQR51293044496819,190559.93,2026-09-10 08:21:16.724326
11,Elizabeth Knight,DCMI68264084854202,357861.90,2026-09-10 08:21:16.724326
12,Jonathan Hopkins,OZTG58132885815484,90065.41,2026-09-10 08:21:16.724326
13,Elizabeth Fitzpatrick,IGSN90791491700114,276650.00,2026-09-10 08:21:16.724326
14,Tracy Hamilton,PLRK51319084583362,272706.82,2026-09-10 08:21:16.724326
15,Phillip Sutton,CNEE97400466151967,64393.58,2026-09-10 08:21:16.724326
16,Sarah Richards,KTXS59040212602036,244822.37,2026-09-10 08:21:16.724326
17,Bruce Taylor,PUSG38545827525207,268636.58,2026-09-10 08:21:16.724326
18,Elizabeth Harper,REIB42144962031028,42297.10,2026-09-10 08:21:16.724326
19,Brian Macias,CGGO35608814850282,25995.03,2026-09-10 08:21:16.724326
20,Brandon Dunn,DSEW39706240498572,445268.33,2026-09-10 08:21:16.724326
21,Kyle Chen,PXNH79741516820877,88745.44,2026-09-10 08:21:16.724326
22,Mr. Brian Ryan,PLCZ41719564952826,313094.06,2026-09-10 08:21:16.724326
23,Heidi Suarez,OIAJ01624045511272,330650.15,2026-09-10 08:21:16.724326
24,Debbie Johnson DVM,NVFH55307108361576,395082.38,2026-09-10 08:21:16.724326
25,Daniel Watson,QXNB14999950105374,125510.30,2026-09-10 08:21:16.724326
26,Rebecca Haynes,NUQV25466401521173,404081.48,2026-09-10 08:21:16.724326
27,Michael Padilla,RIJM79989796332475,102826.68,2026-09-10 08:21:16.724326
28,Marcus Johnson,HAYT04412425891208,109712.94,2026-09-10 08:21:16.724326
29,Alexa Cox,EIMY92709457918834,367814.94,2026-09-10 08:21:16.724326
30,Sarah Long,HIDT78828806321860,136245.91,2026-09-10 08:21:16.724326
31,Robin Eaton,YFHZ09542247361673,14494.04,2026-09-10 08:21:16.724326
32,Joseph Berger,QUEK09416172473349,293751.41,2026-09-10 08:21:16.724326
33,Wendy Miller,CFZE03134493196429,167418.85,2026-09-10 08:21:16.724326
34,Joel Scott,CDCY87455383835140,83302.64,2026-09-10 08:21:16.724326
35,Ryan Gregory,KIWE04444004897710,351528.72,2026-09-10 08:21:16.724326
36,Jenny Castaneda,GDSW08283289040404,309116.74,2026-09-10 08:21:16.724326
37,Bobby Knapp,UBKK31010132783607,382715.40,2026-09-10 08:21:16.724326
38,Robert Roberts,DMYD33472651591805,167670.01,2026-09-10 08:21:16.724326
39,Shelia Sanchez,BXUZ26242499629894,14839.19,2026-09-10 08:21:16.724326
40,Kellie Flores,VNFM30678184972951,332109.29,2026-09-10 08:21:16.724326
41,Michele Lewis,ALZT85896387404279,8723.14,2026-09-10 08:21:16.724326
42,Sarah Lee,BYVQ51469927243928,167214.02,2026-09-10 08:21:16.724326
43,Mary Conley,AUNV82359335773000,493397.93,2026-09-10 08:21:16.724326
44,Joseph Lawson,KXOR83131663197488,333875.49,2026-09-10 08:21:16.724326
45,Sarah Montgomery,ENPJ09826588087280,10853.79,2026-09-10 08:21:16.724326
46,Kenneth Zimmerman,ACHS19947172451133,443507.38,2026-09-10 08:21:16.724326
47,Yvonne Smith,ZZUI63971984124142,242235.12,2026-09-10 08:21:16.724326
48,Samantha Shepherd,UGNX04732980316200,284257.72,2026-09-10 08:21:16.724326
49,Brandon Miller,ERTZ49096666601146,85864.28,2026-09-10 08:21:16.724326
50,Timothy Perry,CXRI19257116053654,403878.27,2026-09-10 08:21:16.724326
51,Matthew Perkins,KDBH80179894856069,14549.13,2026-09-10 08:21:16.724326
52,Catherine Buchanan,QHDO18116658660623,471317.67,2026-09-10 08:21:16.724326
53,Cassandra Hansen,ZHJR39045182421469,200689.23,2026-09-10 08:21:16.724326
54,Andrew Winters,VFLU18394230069855,85651.21,2026-09-10 08:21:16.724326
55,Brett Copeland,RIAY42260939213205,49540.90,2026-09-10 08:21:16.724326
56,Amy Holloway,GDSN34852559994935,316259.89,2026-09-10 08:21:16.724326
57,Samuel Riddle,HYRM47890124384373,385148.49,2026-09-10 08:21:16.724326
58,Carolyn Johnson,PGXY31968341356768,391766.79,2026-09-10 08:21:16.724326
59,Timothy Phillips,EHTD69035307073298,290097.20,2026-09-10 08:21:16.724326
60,Scott Carpenter,YXDW48708686582386,19800.36,2026-09-10 08:21:16.724326
61,Tonya Poole,RDOM45146143269018,255090.78,2026-09-10 08:21:16.724326
62,Nancy Johnston,XNWC41592352040751,135493.81,2026-09-10 08:21:16.724326
63,Keith York,YWOU33260284328300,231910.93,2026-09-10 08:21:16.724326
64,Beverly Hall,BNIA11809017742029,271763.35,2026-09-10 08:21:16.724326
65,Monica Cross,KAJE26448363280313,344223.69,2026-09-10 08:21:16.724326
66,Ralph Lewis,FPPR31403678427378,421185.50,2026-09-10 08:21:16.724326
67,William Thornton,BYTP54707400673922,74445.55,2026-09-10 08:21:16.724326
68,Adam Ryan,KBQB24038362745192,344554.70,2026-09-10 08:21:16.724326
69,Angela Ayala,KABN23712946203145,484330.50,2026-09-10 08:21:16.724326
70,Joy Le,YWZA58845283799113,181811.46,2026-09-10 08:21:16.724326
71,Diane Smith,NKSW21146681093535,361711.20,2026-09-10 08:21:16.724326
72,Samantha Olson,IDKL78243359561184,106329.29,2026-09-10 08:21:16.724326
73,Julie Reyes,VALN22965199643948,94848.56,2026-09-10 08:21:16.724326
74,Ernest Stanton,EGQZ66177015745618,390487.27,2026-09-10 08:21:16.724326
75,Robert Guerrero,QKJP20900233355680,317125.44,2026-09-10 08:21:16.724326
76,Warren Hill,YZKM65344744660941,32485.82,2026-09-10 08:21:16.724326
77,Danny Goodman,UZMD70161279212979,112243.66,2026-09-10 08:21:16.724326
78,Jacob Rodriguez,FMDR01379839395279,465855.68,2026-09-10 08:21:16.724326
79,James Castillo,ZTWL57613909799209,274721.99,2026-09-10 08:21:16.724326
80,Robert Schultz,GNJE45410852523226,133983.72,2026-09-10 08:21:16.724326
81,Kevin Allison,KZLX62013335314601,274686.36,2026-09-10 08:21:16.724326
82,Kathleen Ayers,PDGH54483050253939,318383.87,2026-09-10 08:21:16.724326
83,Philip Lee,LVTD85844819002890,489315.74,2026-09-10 08:21:16.724326
84,Tamara Shelton,HSFJ47553176922348,218840.01,2026-09-10 08:21:16.724326
85,Timothy Allen,JGGK27173444685352,409573.76,2026-09-10 08:21:16.724326
86,Alan Stone,FRHI17058596887375,453656.44,2026-09-10 08:21:16.724326
87,Gary Smith,GKSZ42582021392618,227860.09,2026-09-10 08:21:16.724326
88,Anthony Butler Jr.,FIOB81845524183675,294974.57,2026-09-10 08:21:16.724326
89,Ann Ortega,MNPI15931020056730,18736.55,2026-09-10 08:21:16.724326
90,Amanda Mcknight,XGEH68420894062263,475151.02,2026-09-10 08:21:16.724326
91,Gregory Kennedy,IOGB96392401365219,345865.00,2026-09-10 08:21:16.724326
92,Linda Blair,OWIS95577428995916,220622.29,2026-09-10 08:21:16.724326
93,Chris Trujillo,PKID85241936793156,106524.44,2026-09-10 08:21:16.724326
94,Brandon Williams,TNWD43467060821161,140524.93,2026-09-10 08:21:16.724326
95,Jamie Fields,UVGQ29547337851285,322855.44,2026-09-10 08:21:16.724326
96,Belinda Rodriguez,EGDA79109429358232,343336.95,2026-09-10 08:21:16.724326
97,William Meza,FVYG49534780093375,466824.81,2026-09-10 08:21:16.724326
98,Michael Douglas,OOPO57220848237366,454233.97,2026-09-10 08:21:16.724326
99,Donna Walker,GJAB77049471469957,220308.71,2026-09-10 08:21:16.724326
100,Amanda Kemp,WEKP60278578524285,215403.69,2026-09-10 08:21:16.724326
101,Melissa Braun,DLJQ57332210581007,465233.77,2026-09-10 08:21:16.724326
102,Kristen Murphy,PLPV52374926736587,391945.09,2026-09-10 08:21:16.724326
103,Nicole Mcpherson,XYKF37403606183555,271493.36,2026-09-10 08:21:16.724326
104,Denise Serrano,BGXX55229841367054,59683.75,2026-09-10 08:21:16.724326
105,Mr. Ryan Mcbride,JPTA61287521133424,376047.81,2026-09-10 08:21:16.724326
106,Mallory White,HDQT70894780025840,123429.52,2026-09-10 08:21:16.724326
107,Leslie Duran,TRHY60084698585375,376780.47,2026-09-10 08:21:16.724326
108,Scott Olsen,RIPF22071864817465,309940.88,2026-09-10 08:21:16.724326
109,Thomas Owen,JIBF78212302391571,315869.99,2026-09-10 08:21:16.724326
110,Michelle Gomez,MTPC27195017799766,490032.23,2026-09-10 08:21:16.724326
111,Troy Johnson,FTPU69297745832952,106199.32,2026-09-10 08:21:16.724326
112,Valerie Wang,ZYTW29335159897912,497795.96,2026-09-10 08:21:16.724326
113,Sabrina Escobar,MVIX28143652994742,317486.87,2026-09-10 08:21:16.724326
114,Debra Lee,GKRI30021335756043,268168.21,2026-09-10 08:21:16.724326
115,Kristin Davis,UQQT60325719636654,144636.99,2026-09-10 08:21:16.724326
116,Seth Sanchez,IZPO74895136642050,72549.30,2026-09-10 08:21:16.724326
117,Alison Molina,XQBQ95847557167856,402506.85,2026-09-10 08:21:16.724326
118,Melvin Johnson,AXUZ92400926624163,483988.74,2026-09-10 08:21:16.724326
119,Thomas Gray,XFIR77901433546571,213901.46,2026-09-10 08:21:16.724326
120,Kathryn Armstrong,CRIX36983654215704,375605.12,2026-09-10 08:21:16.724326
121,Roberto Moore,LAJD68442123129613,88941.18,2026-09-10 08:21:16.724326
122,Mrs. Laura Clarke,DPZO30772474364727,193496.21,2026-09-10 08:21:16.724326
123,Sandra Sutton,PBTS95982012229191,88618.31,2026-09-10 08:21:16.724326
124,Beth Moore,IBOC27349695046296,291107.20,2026-09-10 08:21:16.724326
125,Michael Briggs,IDHC21816280561943,105226.41,2026-09-10 08:21:16.724326
126,Renee Phillips,RQMG81248194416769,335596.97,2026-09-10 08:21:16.724326
127,Monique Berg,LWSM81533371160449,381416.71,2026-09-10 08:21:16.724326
128,Danielle Farmer,YSFV03128954394347,431501.19,2026-09-10 08:21:16.724326
129,Joanne Hayes,PGCO85683279122997,187446.62,2026-09-10 08:21:16.724326
130,Bobby Cisneros,GQIN07737652321678,456328.66,2026-09-10 08:21:16.724326
131,Mary Myers,QUPE12537556857277,443310.01,2026-09-10 08:21:16.724326
132,Robert Barnes,OOEF34118854756379,461198.24,2026-09-10 08:21:16.724326
133,Wendy Smith,EUZZ33609446830719,289488.78,2026-09-10 08:21:16.724326
134,Grace Little,RICO79625485213610,410890.95,2026-09-10 08:21:16.724326
135,Virginia Thornton,UDTA94935857564654,230566.65,2026-09-10 08:21:16.724326
136,Michael Gilmore,XUVQ39577329568163,382988.37,2026-09-10 08:21:16.724326
137,Sean Carter,UPEY90973451833082,149426.42,2026-09-10 08:21:16.724326
138,Christopher Tran,UXOL08344880769445,108405.14,2026-09-10 08:21:16.724326
139,Robin Hammond,KYBU53651488109350,184176.62,2026-09-10 08:21:16.724326
140,Kevin Henderson,AEAP85117054174743,391638.09,2026-09-10 08:21:16.724326
141,Samantha Harris,IXJI45083335599763,254389.33,2026-09-10 08:21:16.724326
142,Jennifer Williams,YVRA85015484754829,6282.64,2026-09-10 08:21:16.724326
